kreisnr;kreisname;bundesland;einwohner;junge;alte;einkommen;wahlberechtigte;waehler;ungueltige;gueltige;Union;SPD;Gruene;Linke;AFD;FDP;DIEM25;Volt
3355;Lüneburg;Niedersachsen;182900;20.5;25.9;20583;142504;95387;672;94715;23611;17588;27045;4528;7150;3914;393;873
3356;Osterholz;Niedersachsen;113100;16.4;29.9;21846;90731;56841;343;56498;16078;11602;13752;2713;4550;2697;155;251
3357;Rotenburg (Wümme);Niedersachsen;163400;19.2;27.4;21472;129081;80401;465;79936;28223;14465;17219;2641;5814;4220;158;322
3358;Heidekreis;Niedersachsen;139100;19;28.9;20183;108608;64394;478;63916;19902;14187;12856;1987;5767;3241;117;245
3359;Stade;Niedersachsen;201900;19.1;27.5;21968;157508;98134;659;97475;30775;18485;22222;3434;8244;4719;212;621
3360;Uelzen;Niedersachsen;92700;17.3;32.1;20387;74973;46288;376;45912;15072;9168;9500;1549;4037;2348;87;235
3361;Verden;Niedersachsen;136600;18.3;28.7;23066;105973;68052;503;67549;20585;14108;15917;2396;5242;3131;157;290
3401;Delmenhorst, Stadt;Niedersachsen;77500;20.4;28.2;18845;56279;29611;259;29352;7315;6500;5907;1434;3480;1403;58;128
3402;Emden, Stadt;Niedersachsen;50600;22.8;27;18593;37967;22899;337;22562;4185;6539;4874;1282;2133;1102;38;103
3403;Oldenburg (Oldenburg), Stadt;Niedersachsen;167100;26;24.7;19244;129795;84195;388;83807;16001;14414;29937;5395;4384;3881;399;593
3404;Osnabrück, Stadt;Niedersachsen;164400;28.8;24.1;20445;123607;79196;432;78764;18652;13954;26198;4177;3781;3757;311;678
3405;Wilhelmshaven, Stadt;Niedersachsen;76300;21.9;32.5;18047;61706;32938;323;32615;8499;8468;6413;1230;3020;1431;90;218
3451;Ammerland;Niedersachsen;123400;17.7;29.2;21515;97565;63245;467;62778;19144;12394;14779;2164;4417;3765;97;285
3452;Aurich;Niedersachsen;189900;18.6;29.3;19701;153372;92397;1394;91003;22118;25993;17672;3462;8280;4380;152;385
3453;Cloppenburg;Niedersachsen;167900;22.4;22.1;19820;120227;66148;408;65740;31382;8880;10263;1797;4903;3639;53;232
3454;Emsland;Niedersachsen;323600;20.9;25.1;20469;239069;149737;1063;148674;73233;21925;24398;3601;8089;7576;163;551
3455;Friesland;Niedersachsen;98500;16.8;32.6;20242;81384;50536;555;49981;13851;12569;10287;1705;3873;2663;93;220
3456;Grafschaft Bentheim;Niedersachsen;135900;19.5;26.9;19439;97968;65791;459;65332;25492;15484;12065;1724;3088;3062;76;196
3457;Leer;Niedersachsen;168900;19.7;27.6;18614;131488;73354;640;72714;19689;18558;14554;2683;6572;3381;129;383
