Zulassungsbezirk;Insgesamt;Benzin;Diesel;Gas;Hybrid.insgesamt;Hybrid.Plug-in;Elektro
05966  OLPE;86863;56288;29500;718;273;76;68
05970  SIEGEN-WITTGENSTEIN;171487;115422;53946;1218;749;109;132
05974  SOEST;184369;120722;60263;2504;642;148;211
05978  UNNA;234058;163593;65881;3294;1039;134;198
07111  KOBLENZ,STADT;61194;38691;21682;475;287;92;53
07131  AHRWEILER;82451;54471;26500;1096;326;40;47
07132  ALTENKIRCHEN(WESTWLD.);81263;54221;25799;849;325;43;48
07133  BAD KREUZNACH;96928;64481;30990;1015;359;61;68
07134  BIRKENFELD;51248;34893;15741;339;230;33;29
07135  COCHEM-ZELL;40142;23845;15727;467;80;10;19
07137  MAYEN-KOBLENZ;134479;89505;43213;1156;491;48;91
07138  NEUWIED;115562;75457;37926;1632;451;51;73
07140  RHEIN-HUNSRUECK-KREIS;67769;40018;26781;623;283;36;52
07141  RHEIN-LAHN-KREIS;78106;52104;24814;905;221;36;44
07143  WESTERWALDKREIS;131925;83641;46375;1345;435;74;105
07211  TRIER-SAARBURG;147033;89922;55746;545;672;92;127
07231  BERNKASTEL-WITTLICH;72723;43919;28074;393;277;49;50
07232  EIFELKREIS BITBURG-PRUEM;63582;34229;28643;317;324;36;58
07233  VULKANEIFEL;39930;23280;16126;364;128;15;23
07311  FRANKENTHAL(PFALZ),STADT;26322;17985;7898;234;179;25;22
07312  KAISERSLAUTERN,STADT;48347;33407;14085;450;343;40;52
07313  LANDAU I.D.PFALZ,STADT;26521;18004;8144;215;123;21;31
07314  LUDWIGSHAFEN A.RH.,STADT;81019;55304;24396;634;423;58;247
07315  MAINZ,STADT;98096;63212;33389;756;574;146;148
07316  NEUSTADT A.D.WSTR.,STADT;32124;21651;10078;249;100;24;43
07317  PIRMASENS,STADT;22489;15726;6437;164;142;17;18
07318  SPEYER,STADT;28970;19367;9170;292;114;29;26
07319  WORMS,STADT;44766;30852;13148;350;348;125;59
07320  ZWEIBRUECKEN,STADT;20735;14107;6292;140;177;11;14
07331  ALZEY-WORMS;82389;52872;28385;750;283;63;77
07332  BAD DUERKHEIM;88215;59122;27824;853;316;65;82
07333  DONNERSBERGKREIS;48673;30886;17051;496;200;39;31
07334  GERMERSHEIM;80593;52819;26693;625;386;50;53
07335  KAISERSLAUTERN;66726;45233;20535;550;351;22;44
07336  KUSEL;46603;31504;14513;330;224;23;18
07337  SUEDLICHE WEINSTRASSE;74550;49547;24068;545;306;37;69
07338  RHEIN-PFALZ-KREIS;99250;69638;28203;857;447;62;87
07339  MAINZ-BINGEN;136504;87362;47049;1239;653;135;184
07340  SUEDWESTPFALZ;65733;43679;21226;487;285;26;29
10041  SAARBRUECKEN,STADTVERB.;188467;128011;58029;942;1280;119;172
10042  MERZIG-WADERN;69648;43082;25815;296;396;28;55
10043  NEUNKIRCHEN;84810;59297;24360;545;534;39;47
10044  SAARLOUIS;130310;89529;39536;524;605;50;75
10045  SAAR-PFALZ-KREIS;96186;64946;29979;580;554;41;95
