StadtID;Einwohner;Haushaltseinkommen;Bruttoverdienst;Medianeinkommen;Medianeinkommen Frauen;Medianeinkommen Männer;Medianeinkommen Diffferenz
ID 8226;541859;1930;2720,8;3352;2849;3623;774
ID 8231;122247;1792,2;2575,5;3063;2660;3384;724
ID 8235;155359;1869,9;2504,6;3000;2611;3232;621
ID 8236;196066;1969,3;2675,1;3117;2550;3361;811
ID 8237;116233;1938,5;2614,9;3188;2394;3534;1140
ID 8311;226393;1678,8;2565,1;3267;2971;3534;563
ID 8315;257343;1906,7;2380,8;2899;2469;3070;601
ID 8316;162082;1774,4;2439,4;2997;2653;3171;518
ID 8317;420106;1798,7;2533,7;3028;2539;3237;698
ID 8325;137500;1929,5;2672,6;3182;2580;3454;874
ID 8326;209648;1905,1;2618,8;3064;2578;3337;759
ID 8327;136606;1977,2;2828,1;3284;2730;3588;858
ID 8335;280288;1853,6;2479,2;3064;2687;3349;662
ID 8336;226708;1925,7;2546,5;3191;2676;3476;800
ID 8337;167861;1841,8;2389,7;2950;2529;3200;671
ID 8415;282113;1920,2;2724,7;3301;2830;3567;737
ID 8416;221837;1785,3;2533,9;3248;2947;3516;569
ID 8417;188595;1985,5;2582,7;3066;2564;3315;751
ID 8421;122636;2044,1;2867,8;3439;2966;3822;856
ID 8425;192104;1815,7;2595,1;3099;2537;3302;765
ID 8426;194019;1817,9;2854,4;3467;2974;3667;693
ID 8435;212201;1970,3;3012,4;3672;2749;4250;1501
ID 8436;279296;1834,9;2438,3;3062;2645;3286;641
ID 8437;130772;1778,3;2527,8;3128;2611;3305;694
ID 9161;132438;1768;3928,3;4425;2990;4862;1872
ID 9162;1450381;2136,8;3430,1;3879;3364;4389;1025
ID 9163;61844;1947,4;2595,6;3131;2777;3415;638
ID 9171;108485;1849,2;2923,1;3404;2610;3718;1108
ID 9172;103907;1754,6;2378,9;2729;2269;2975;706
ID 9173;124930;2118,1;2511,1;2933;2508;3153;645
ID 9174;149370;1940,6;2568,8;2942;2676;3092;416
ID 9175;137421;2123,5;2715,5;2974;2663;3161;498
ID 9176;128805;1837,8;2444,8;3019;2539;3222;683
ID 9177;133747;1899,2;2485,9;2821;2540;2964;424
ID 9178;173225;1880,1;3128,7;3228;2778;3500;722
ID 9179;213481;2053,3;2671,2;3040;2723;3221;498
ID 9180;87385;2028,7;2336,2;2660;2397;2820;423
ID 9181;117657;1976,6;2639,4;3056;2670;3246;576
ID 9182;98286;2255,5;2489,1;2893;2615;3041;426
ID 9183;112034;1835,2;2457,2;2933;2501;3119;618
ID 9184;340003;2485,6;3687,7;4016;3471;4382;911
ID 9185;94654;1786,8;2401,9;2952;2441;3084;643
ID 9186;124128;1937,5;3039,2;3135;2640;3371;731
ID 9187;256074;1970;2473,1;2822;2465;2993;528
